数据编号,comment,label
29,我唯一的新年愿望就是他妈的肺炎全部转移到湖北不作为官员和那些吃野味的人上 这些人死绝了 肺炎消失每天看这些新闻特别不舒服 ??,angry
30,？？您16号发热19号回甘肃您咋想的？给家乡带来传染源？？,angry
31,乖崽[兔子],happy
32,#武汉加油# 武汉加油，我们在一起我们一起打赢疫情防控战//@朱一龙:#武汉加油#我们在一起[心],happy
33,唉//@王恺同学:昨天看了一篇财新关于黄冈一地病人人数的报道，一个惊人的数字，让我觉得湖北全省已经不安全，可转眼就删除了，不知道是数字错误还是另有原因。如果数字为真，则封锁武汉远远不够。//@朱文轶:早十天做，可以这么说,fear
34,！//@杨九郎L:#致敬疫情前线医护人员# 致敬战斗在第一线的医护工作者们，大家都要保护好自己??一起打赢这场战役?,happy
35,太恶劣了……//@萌一美:医护人员太惨了//@泽维尔天赋青少年学院-保安-丞叽:艹,angry
36,为前线工作人员点赞//@薇娅viyaaa:每一年大年三十，警察、医护人员、外卖小哥…总有许多人依旧坚守在自己的岗位上， 默默付出。今年，因为突发的疫情，让更多的医护人员自愿在一线奋战，只为疫情得到控制！ 希望前线的医护人员都能好好照顾自己的身体，向#抗击新型肺炎第一线#的所有医护工作者致敬！,happy
37,致敬[作揖],happy
38,//@卓雨卓雨:我靠......,angry
39,河南人口多，郑州人流量大，真的需要政府给力才能严防疫情蔓延[中国赞],fear
40,前两天我还比较乐观，觉得既然钟院士已经到武汉考察过，武汉也开始封城，那么新出的病例应该只是已经感染的确诊出来，新感染可能并不会增加太多。但我现在意识到这太天真了。一是潜伏期也能感染，封城前可能有很多潜伏期的人带着病毒出来；二是有大量人在完全封城前离开武汉。这些出来的人有多少是潜伏期，想想都可怕。遇到这种灾难事件，总有部分人会自私的突破你的底线[怒]难道自私的人真的活的长[怒]不祝愿好人都平安?,angry
41,加油啊！//@小药师在德国:主流德媒不报道并不奇怪  该消息可通过以下方式确认：吕贝克大学官方推特确认了消息以及中国签证处工作人员朋友圈确认教授办理了签证,happy
42,这波操作……我怎么觉得该给武汉市领导赞一个呢[并不简单]#武汉15名医务人员感染新型冠状病毒##新型冠状病毒肺炎纳入法定传染病# ??,happy
43,fgh//@ZSCerelia小春儿:保护好自己 致敬英雄，共同前行[心]//@郑爽微博能量站:#致敬疫情前线医护人员# 请医护人员注意防护！保护好自己！才能更好的前行！//@郑爽SZ:#致敬疫情前线医护人员# 请大家都保护好自己！致敬英雄，我们共同前行！,happy
44,无fuck可说[怒][怒][怒]//@来去之间:？？？我以为信息流乱了呢……,angry
45,[嘻嘻]//@晴天颜颜的微笑:#武汉加油# 武汉加油//@朱一龙:#武汉加油#我们在一起[心],happy
46,这种反社会人格是做得出恶意散播的事情的,angry
47,//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
48,//@世界末日旗旗子 ://@V闪闪 :这是中国疾病预防控制中心流行病学首席科学家、WHO传染病监测和应急反应科学委员会委员，中国现场流行病学培训项目执行主任，所以作为专家，他对现在的疫情判断，说出的话是有权威性的。[作揖],happy
49,感觉防控黄金时间确实已经过了，很多人带着病毒在全国跑，并且这个传染性非常强,fear
50,致敬，加油,happy
51,江苏挺住啊[泪][泪][泪],happy
52,相信我们的医生和CDC，天佑武汉?,happy
53,看到武汉封城的报道 我想起我的憨批香港亲戚在中年家庭群里面传播 说他的武汉同学都不带口罩 大家不用担心我日？！！！憨批的憨批脑回路果然不一样 ??,angry
54,保佑接下来都是好消息? 国泰民安,happy
55,我真的怕。最后还是回了老家，结果一听长辈亲戚们今天还到处跑到处吃饭，我差点心梗。服了，管不住别人，我想把自己隔离起来。要是能健康回重庆，我宁愿天天在家吃喝稀饭吃泡菜。 ??,sad
56,绿出早点滚吧,angry
57,#武汉封城# 武汉此刻的天气，如同严峻的疫情，笼罩这这座城市，愿疫情的烟霾尽快退散。[感冒] http://t.cn/z8yV8FN ??武汉·现代·森林小镇,happy
58,加油，我们都在！！！//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
59,武汉加油[爱你]#武汉封城# http://t.cn/R2WxY38 ??莱州市,happy
60,辛苦了,happy
61,照顾好老板，换口罩吧//@蔡徐坤工作室:#防控疫情我们在一起#须警惕，不轻视！认真做好防护工作，我们一起加油！,happy
62,致敬钟南山院士,happy
63,不知道这样备受煎熬、在希望与失望之间反复挣扎的日子还要持续多久，努力保持乐观的心态保持理智，力所能及地保护自己和家人。但愿来年樱花盛开的时候一切都有好转，我期待着也盼望着。谢谢你们，时常被感动和安慰到[抱抱]除夕快乐[心],sad
64,逃离肺炎?武汉再见? http://t.cn/z8AUC6j ??武汉·武汉天河国际机场,fear
65,哈哈啊哈哈啊哈哈哈啊哈哈哈啊哈哈哈哈哈哈操//@tueryunyun:中央:我们是.. 河南:马上！,angry
66,？？？傻逼//@照烧盐 :傻逼//@_Synchronicity :千里送病毒[太开心],angry
67,病毒远走吧！,angry
68,武汉加油,happy
69,#武汉加油# //@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
70,//@sailorgao:对钟南山个人来说，怎么歌颂都不为过。对国家来说，这么重大疫情需要这位老人亲上前线，总是感觉越歌颂越讽刺。,happy
71,一定要注意啊！！！！//@尤长靖:我顺利到家了 各位出行一定要做好防护措施  感谢所有奔赴在前线的医护工作者们辛苦了！你们就是这个时代最值得敬佩的英雄！ 祝一切健康平安??,happy
72,吃野味的以后看好自己的妈吧。[太开心][太开心][太开心]#全国确诊新型肺炎病例# http://t.cn/RDUnNFD ??西安,happy
73,感谢有你！//@肖战工作室:感谢有你！#致敬疫情前线医护人员#?愿医护人员做好防护！注意安全！[作揖],happy
74,[害羞]搜噶卡哇伊迪斯捏……[挖鼻][生病]吭,happy
75,该说不说的，我连鸡肉猪肉鱼肉都不喜欢吃，吃蝙蝠？蝙蝠招你惹你了，自作孽不可活，服了，非得违背自然规律[微笑]#野味肺炎# ??,angry
76,[加油],happy
77,好[泪]你也要戴好口罩噢//@华晨宇yu :#武汉加油# 我们一起打赢这场防疫战,happy
78,我妈在这种时候发烧我的天我怕死了@天之大83802,fear
79,[心]//@卷卷_卷卷福:#致敬疫情前线医护人员#  致敬英雄们，请保护好自己[心][心][心][心][心]//@秦俊杰:#致敬疫情前线医护人员# 你们辛苦了，愿平安，大家都健健康康！,happy
80,一直都在！会好的！,happy
81,#新型冠状病毒怕酒精不耐高温# 封城也没关系，坚信我大武汉一定能渡过这次难关！ http://t.cn/R2WxQOQ ??武汉,happy
82,的感觉一定非常的爽，（（就是惊赞！[冠军诞生],happy
83,武汉加油!咱们一起打赢这场防疫站![加油]//@曹曦月:武汉 我的家乡 加油[加油],happy
84,一定都要好好的呀,happy
85,//@TFBOYS-王俊凯:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
86,#武汉加油# 加油?? //@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
87,武汉加油！在家里也要健康过年，一起做好消毒卫生！[加油][加油],happy
88,真是这么多为数不多的好消息了,happy
89,[good],happy
90,最魔幻的是都样了还有人在愤怒的指责财新三联等媒体这种时候夸大疫情引起恐慌。20号之前有良心的媒体试图引起注意失败了，20号之后他们又被当成了恐慌的源头。疫情源于国家主义的失败，然而，看上去我们即将走向又一个国家主义的胜利。胜利了以后，抓几个典型就好了，也不需要反思了。,angry
91,nf//@Samuel-汪苏泷银河护卫队 :#武汉加油# 我们一起[心]//@汪苏泷 :#武汉加油# 我们一起！,happy
92,//@Butithasnt://@秋秋秋秋秋小醒 :等一篇《不经历肺炎，我都不知道我国这么牛逼》！,happy
93,@-最爱张国荣-：向在一线的医护人员/说一声辛苦你们了/感谢你们的坚守[心] 患病同胞们/你们要加油/你们身后还站着许多人/家人医生全体中国人民/都会为你们加油[心],happy
94,数字增长的好吓人，希望部分人有点自觉，不要怀着侥幸心理,surprise
95,#安徽确诊新冠肺炎15例#被骂上热搜，学学河南吧，抄作业也不会？？？ ??,angry
96,#武汉加油#武汉加油武汉加油，平安最重要//@朱一龙:#武汉加油#我们在一起[心],happy
97,#新型肺炎确诊440例死亡9例#保护好各位医护工作者，尤其要保护好钟南山院士啊！80多岁的人了，为此尽心竭力，到处奔波，还奋战在武汉第一线，他不仅是首席专家，还是中国抗病毒的旗帜，是精神支柱，防护工作一定要加强啊。 ???,happy
98,致敬，天佑中华,happy
99,[泪]加油//@喵爷-吴淼 :看着难受！新年愿望就是所有医护人员平安无恙！所有因口腹之欲带来灾难的畜生下地狱。,angry
100,//@V敏啊:佩服 厉害??,happy
101,你测你的妈呢,angry
102,害 我老家也有了 完蛋,sad
103,你们辛苦了//@小辫儿张云雷:#致敬疫情前线医护人员# 你们辛苦了！保护好自己，愿健康平安[心],happy
104,//@羊水宝:哈哈哈哈哈哈哈哈到底是什么傻逼在上网啊//@IMTKKL_:姐妹你的善意真的被利用了，他说他姨姥爷70岁高龄，妈妈年龄显示65岁，姨姥爷和自己的姥爷同辈分，怎么可能和自己的妈妈只相差五岁呢//@一块脸脸:评论真的吗太让人窒息了 为什么这么多网友言之凿凿给人定为普通肺炎 当代华佗吗！,angry
105,//@张洲:卧操，医院呼吁社会捐赠？……社会捐赠？看来，医院是对他们太失望了。。点到这里，看内容自己理解吧！,angry
106,加油中国??,happy
107,日好豁人[感冒],happy
108,#武汉加油# 说说最近自己的感受，从12月30日爆出来不明肺炎。从跨年前一天开始慌，一直慌到现在(即使回了家)。每次看到微博热搜，就要开始微博恐慌，再加上小道消息飞起说各种严重，没病感觉自己都要得病了。难，真的很难，没有人预料到或者谁想发生这种事，我们能做的就是保护好家人，保护好自己。但是越是这种时候越要团结起来，这是一个考验，考验个人考验社会考验国家。03年印象里还在上小学，是老爸老妈每天在家里煮醋挂大蒜以及让我们戴口罩上学，每次的口罩戴完要消毒清洗换洗(当年佩戴的还是白色棉口罩)。17年过去父母老了，我们长大了，角色交换。与其每天在微博恐惧恐慌，不如多给身边未知的人科普给父母科普买好感冒药，口罩，白醋，一起团结，努力度过这荒诞的艰难时期。加油武汉，加油中国！众志成城！挺住，都会好起来！,happy
109,未见官方说明[摊手],angry
110,//@这瓜沙沙雕雕的保甜://@菜刀曦曦:武汉正在玩儿命求援，请求民间援助。新闻联播在播这个。我不是武汉人看了都有点生气。武汉人应该在家骂大街吧。 http://t.cn/A6PZCMJS,angry
111,总有一刻会让你热泪盈眶，此刻就是！此刻他们就是新时代最可爱的人，向他们致敬！[作揖][作揖][作揖]自古以来，就有埋头苦干的人，有拼命硬干的人，有为民请命的人，有舍身求法的人……这就是中国的脊梁[赞][赞][赞] http://t.cn/R2Wx0ic ??盐城·阜宁县,happy
112,保护好他 平平安安//@朱一龙工作室:工作室第一时间准备了黑色和蓝色的外科医用口罩、N95口罩、酒精等必备品，彩排和平时也都有戴，请大家放心。也希望大家保护好自己，注意安全。,happy
113,为武汉加油，一定会越来越好//@朱一龙:#武汉加油#我们在一起[心],happy
114,武汉挺住,happy
115,@蔡徐坤 //@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
116,//@杨洋:#武汉加油# 一起打赢这场防疫战！ ????加油，我们都在[心],happy
117,19年下半年开始，就隐隐约约有对大环境走向的持续焦虑，上午刷新闻看到新型肺炎病例的增加，一整天都如坐针毡，看见和鼠疫两本书轮番在我脑子里翻滚，难受极了。 ??,sad
118,真的找不到野味有么子好吃的。,angry
119,福建快点抄作业啊急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了急死我了,angry
120,//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
121,//@未发表作品://@rebecca张小呆:今天的结果进一步恶化，c反应蛋白68，CT报告还没出，片子医生看了说双肺严重感染，早九点到现在我父母还在医院，刚刚打针中途突然全身抽搐，意识不清，还不算重症吗？！还不能住院吗！ http://t.cn/A6vsaMFV,angry
122,//@湖南国际频道:致敬所有一线工作人员[中国赞]//@郑云龙DL: 肃然起敬[赞],happy
123,都一定会平平安安的[心]//@肖战工作室:感谢有你！#致敬疫情前线医护人员#?愿医护人员做好防护！注意安全！[作揖],happy
124,[泪][泪][泪][泪]一定要平安,happy
125,[爱你],happy
126,加油！,happy
127,[害羞]aaa//@懵哒哒DADA:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬//@TFBOYS-王俊凯:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康。@TFBOYS-王俊凯,happy
128,@Dear-迪丽热巴 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@Dear-迪丽热巴:武汉加油，咱们一起，打赢这场防疫战！,happy
129,//@ISEE每个你 :不要去人多的地方；出门一定要戴口罩；多喝水；勤洗手；补充维生素。保护好自己！向所有奔赴在最前线的医护人员致敬！,happy
130,//@TFBOYS-王源:#致敬疫情前线医护人员# 感谢你们的伟大付出！大家一定要保护好自己，愿所有人都平安健康[心]//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
131,一起打赢这场防疫战！大家都平安！你也要平安！//@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心],happy
132,//@香港的谭叔:[哈哈]//@青菀啊:继“你要自由做什么”之后，李老师又发明“你要知情权做什么”的天问。李老师大概得到过一本辟邪剑谱，自练第一页导致走火入魔。,angry
133,一起加油//@爱困的Tiffyang:我们一起加油，向战斗在一线的医护人员致敬[太阳] //@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
134,#恳请安徽政府宣传疫情防范#我要是有钱就给这条tag买个rs[微笑]我恨 ??,angry
135,昨天领导来办公室顺口说起肺炎，很随意的不当回事。我说一定要提高警惕，戴口罩，注意防护，我们这已经确诊3例了。他说我传谣。妈的官方消息传你妈的谣。隔了一会儿单位就通知开防控大会，今天通知值班，过年期间我要值4天班。,angry
136,[顶],happy
137,[围观][鲜花][赞啊]不错  [下雨],happy
138,//@_恶魔奶爸_:回复@柠砂糖:武汉大学生数量世界之最，这些人大部分都回家，散落在各个大街小巷大城小镇里，武汉又是交通枢纽人流节点通过武汉转车转机的人不计其数分散在全国各个地方。潜伏期14天。哪有什么小题大做。//@柠砂糖:我爸还在那说我小题大做。[微笑]心真的累。,angry
139,[good],happy
140,天[跪了]//@普通番茄儿:第一句就给我看哭了[泪],sad
141,[泪][泪][泪],sad
142,[中国赞][并不简单]这些天我都一直在支持的[乔治][微笑],happy
143,加油!//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
144,魔物入侵，嫘祖封城。与上次不同的是，有很多缙云前往西陵。这次，我们一定赢！ ??,happy
145,太坏了//@古月中心相心:那不就是昨天下午跑去澳门的嘛[衰],angry
146,//@别怕我们有防护门:ddd 省内其他县市也要重视//@VanMcCann:(对不起我又来了请大家关注武汉周边湖北省内)为什么湖北省内被遗忘了！！为什么作为离武汉最近的城市，没有疑似没有确诊没有公布发热门诊和定点医院！孝感官方还在宣传乘坐公共交通走亲访友！说要低碳环保！！还鼓励市民去拜！！还关闭评论,angry
147,武汉人民要加油，要相信医务人员，他们在用生命护你们[抱抱]离开武汉的同胞们希望联系当地医院进行检查，疫情严重，希望大家重视起来啊[可怜]出门在外一定要戴口罩为了自己也为了他人，勤洗手，注重卫生！！！一定不要为了什么新鲜感，面子吃野味！！！！,happy
148,//@格子甜酒:帮忙转发，绵薄之力//@工具蛇://@盥耳山栖:[泪][泪]加油啊,happy
149,长沙离武汉近，危险指数高[汗],fear
150,造谣司马[微笑][微笑][微笑],angry
151,泪目,sad
152,武汉加油[心],happy
153,谢谢你们，愿你们平安归来[心],happy
154,//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
155,5//@战羡兔紙:加油！我们一直在！[拳头]//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
156,我等你一起看樱花?,happy
157,我媽媽還不知道病毒這個事.....,sad
158,要平安呐//@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心],happy
159,我太害怕了[泪][泪][泪][泪][泪]希望听到疫情已经控制，能正常开学的消息[泪][泪] ??,fear
160,19//@Sylxx23-:武汉加油！//@槑槑呆demo:#武汉加油# 加油！祈求平安//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
161,别跑出来了 国家会把最好的医疗物资都会运过去。跑出来逃到别的城市太危险了,fear
162,致敬所有奋斗一线的工作人员[心]。大家都要注意安全。[鲜花]武汉加油！湖北加油！阿中哥加油！[加油][加油][加油][加油],happy
163,#致敬疫情前线医护人员# 致敬所有医护人员，哥哥也要照顾好自己！！！//@TFBOYS-易烊千玺:#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
164,[顶]成功的奥秘在于目标的坚定。迪斯雷利[抱抱][思考]胶,happy
165,[赞啊],happy
166,[伤心],sad
167,#武汉加油# [加油],happy
168,疯了，打医生干嘛？[费解][费解][费解],angry
169,#河南确诊首例新型肺炎#?要过年了，希望大家平平安安。 ??,happy
170,郑州也有一例了[跪了],fear
171,[可怜][拳头][喵喵]真的不敢相信啊[爱你],surprise
172,#江苏确诊首例新型肺炎病例#我不出门了[泪]窝在家里，谁喊也不出去那种[泪][泪] ??,sad
173,为他们点赞,happy
174,都要照顾好自己//@陈立农:#致敬疫情前线医护人员# 辛苦了！做好个人的卫生防护措施，注意防范，保护自己和家人，少去人多的地方。愿所有人一切平安健康！,happy
175,白衣天使[泪][泪][泪],happy
176,#腾讯新闻# Clever猪:一些人为了自己的口腹之欲，给国家带来的却是灾难，好好的一个新春佳节，多少人因为他们不能阖家团聚，多少医护人员因为他们面临着生命危险奋斗一线，举国上下不得安宁！希望国家严惩这些野生动物的狩猎者、贩卖者、食用者，他们为了一己私利不管不顾，甚至连濒危野生动物都不放过，导致物种灭绝，生态链破坏，疫情发生，他们可以说是人类的千古罪人，他们罪该万死！自私的人类，请你们收敛一下自己的欲望吧！如果http://t.cn/A6P29ydA 来自@腾讯新闻,angry
177,少出门多运动增强免疫力战胜疫情[拳头][耶][ok] ??,happy
178,不管想火还是真的都想请他去死一死,angry
179,//@匡_威_万_斯-总-仓:国士无双。鬓微霜   又何妨？,happy
180,一群憨批 气死我了,angry
181,笑死我了//@wefoundlove日日:我笑到傻,happy
182,尽量少出门，出门戴口罩,happy
183,4号到现在，不敢想，这中间要接触多少人,fear
184,希望一切都快点好起来吧//@TFBOYS-王俊凯:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
185,加油[心]//@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心],happy
186,无语//@suede:两会要紧，有了主体思想加持才能战胜病毒,angry
187,//@1016zly小彤:武汉加油[加油]//@喵喵喵喵哞:三组  冲鸭[心]1.23//@赵丽颖:#致敬疫情前线医护人员# 向所有医护人员致敬！愿大家都健康平安??,happy
188,//@嘟布勒V://@小白的鹦鹉螺:这不叫封城，这叫自我瘫痪。从医院越过市政府省政府直接向社会求助，到国务院越过省级地级直接向社会征集地方防控不利、瞒报漏报的问题线索，就可以看出问题之严重，中间的官僚层级整个断片了。,angry
189,#海南新增1例新型肺炎确诊病例# //@刷牙朋克:#守护海南# #海南新增1例新型肺炎确诊病例# [悲伤],sad
190,加油??//@Dear-迪丽热巴:武汉加油，咱们一起，打赢这场防疫战！,happy
191,和马嘉祺一起//@时代少年团队长-马嘉祺:#致敬疫情前线医护人员# 医护人员辛苦了，请一定平安[作揖]//@时代少年团:#致敬疫情前线医护人员#  感谢所有的医务工作者们，希望大家都能健康平安[心],happy
192,//@tueryunyun:中央:我们是.. 河南:马上！,happy
193,//@一等黑魔导:给想知道的人科普一下，单纯建立蛋白质建模正常工作就是两三个月的工作量，中国科研机构不仅一个月内完成了蛋白质建模，还完成了病毒分离测序以及一系列其他工作。,happy
194,求求配合医务人员吧 他们肯定也很累了吧 别再添乱啦[淚][淚][淚][淚],sad
195,平安健康[心]//@TFBOYS-易烊千玺:#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
196,[赞],happy
197,十几年前非典是钟南山 这次还是钟南山[作揖][作揖],happy
198,你是我一辈子的偶像！为你打一辈子call!,happy
199,[左哼哼][噢耶][太开心]必须要帮你们推荐一下了哦，呵呵[喜],happy
200,平平安安?,happy
201,//@midori9522:[泪]//@不失眠小浣熊:真的好无力…//@秧苗成长日记:看的我心里难受，是一名年轻男生，有责任感，坚持自我隔离，但也只能这样熬着。评论更让我寒心，置身事外的人比比皆是。,angry
202,？？？//@No2038星球居民千秋:？？？//@攻雕:人种[疑问]种族歧视惹[doge]当然精日公知只会让你锅反省[doge],angry
203,只吃鸡鸭鱼的我，被欧洲人调侃中国人什么都吃 我就好气愤。看完那个fish market 我真是要吐了，果然是啥都吃……,angry
204,//@Sun翠花儿_:有没有王法了？你他妈的是土皇帝啊还得给你下跪？？？//@Hey是SuSu啊:这个时候还有打医生的？被打的妻子还在一线。伤医不重惩以后谁还当医生,angry
205,平安 平安?,happy
206,大大也要注意顾好自己，给我安排！武汉加油[嘻嘻]//@BIGBIG张大大:#武汉加油# 我们一起，打赢这场防疫战！向战斗在一线的医护人员们致敬！,happy
207,平安健康,happy
208,//@武志红:所以啥叫辟谣？现在还不是很清楚体系为什么总是去捂盖子，总是不能面对问题。这个问题要搞清楚，不仅意识层面，还包括潜意识层面，太好奇了。,angry
209,tt//@Cr消觉7_ :加油！//@赵丽颖 :#致敬疫情前线医护人员# 向所有医护人员致敬！愿大家都健康平安??,happy
210,//@HISH_:回复@临池惊墨:话粗理不粗//@鹿特曼的小小怪兽:学医真的救不了中国人,sad
211,太给力了，让我们了解了这种病毒。,happy
212,//@澳洲伯爵:这也是为什么当初SARS如此棘手的原因，在长久的死亡筛选中，蝙蝠和冠状病毒手拉手进化着，蝙蝠牛逼了，病毒也疯狂的进化到不怕高温，所以一旦传染到人身上，人体免疫反应出的高温根本杀不死蝙蝠培养出的病毒，最后只能用激素疗法，让人体免疫系统撤退，别打了，打不过的，再打肺就完犊子了,fear
213,//@考研政治徐涛:很形象了，我这个医学小白都看懂了 大家出门在外的要多注意,happy
214,武汉加油，中国必赢,happy
215,加油//@Dear-迪丽热巴:武汉加油，咱们一起，打赢这场防疫战！,happy
216,//@豫章天子:一开始就应该公布出来并且隔离观察,angry
217,[加油][加油][加油],happy
218,零下三十度自驾游 [good],happy
219,[好爱哦]//@晴天颜颜的微笑:#武汉加油# 武汉加油//@朱一龙:#武汉加油#我们在一起[心],happy
220,搁那吃非法销售的野味 真的biss！为啥不让吃 心里没点数 自己嘴都管不住,angry
221,武汉加油！,happy
222,//@动脉影:划重点：“因此高度怀疑是病毒先进入结膜，而后再到全身。如果这个推测成立，则我的防护盲点就在没有戴防护镜。”[跪了]，现在这么多病人在医院根本没人带防护镜啊，都在强调口罩.......,sad
223,//@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心],happy
224,[微笑],happy
225,江宁狗马上自裁，就是作为一个大V能尽到的绵薄之力了//@不可见发言bot:江宁狗怎么还在舞 评论里说他辛苦了的 他去一线救治病人了？//@是你的镜仔青春有你版:有图 http://t.cn/A6vgVxqY //@收到请回富:嘎，“如果武汉搞不定，没人搞得定。”,angry
226,[嘻嘻]感觉你就超级棒的呢，加油哟[爱你][doge]教,happy
227,武汉加油！！//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
228,打心眼里喜欢这样的,happy
229,nmsl?,angry
230,各位 千万保重,happy
231,“武汉这个小笨蛋，别害怕，祖国妈妈依然很爱你，别的小朋友都在陪着你。等到来年春暖花开冰雪融化，我们就去武汉看樱花”突然看到这句话，感觉太有爱了，谢谢大家对武汉的支持，武汉加油！年后一切就会变好的！#全国确诊新型肺炎病例##武汉一名新型肺炎患者被成功救治# ??,happy
232,强制不让走亲戚不要大家族聚餐吃年夜饭了吧,happy
233,#武汉公交地铁暂停运营##武汉封城 众志成城# #武汉封城# 众志成城，我们可以！武汉，加油！！！,happy
234,人类永远不相信自然规律，更不信人类自己科学认识到的规律，他们只相信自己主观觉得的，到最后就满天飞舞的流言。然后真实就被“狼来了”所掩盖。这真的只是一场流行肺炎，至少目前真的没有SARS和人类史上任何一次大规模流行病杀伤力强。看到流言键盘侠们群魔乱舞制造混乱，对他们说一句:你行你上。估计又是一堆软骨头，如果是战争，那估计逃兵不少吧，因为怕死。恐慌之前要去冷静面对解决问题，而不是袖手旁观，张嘴金莲。主观臆断之前，多翻翻文献，多读读书，对自己有好处。,angry
235,卧槽,surprise
236,我是武汉的，已经封城，武汉加油！！！,happy
237,//@8个冬菇呀:医用一次性口罩都可以的，只要能防住飞沫就可以了。钟南山说的,happy
238,这个世界不应该有其他国家，因为他们天生就是我们的敌人！,angry
239,辛苦啦,happy
